"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"Syria","23379","","1657",NA,"18737","","2985","","1309","93","103566","5798","17861120","Asia","764","10779","172",NA,NA,"167"
"Guinea","22633","","150",NA,"20231","","2252","24","1685","11","443518","33013","13434507","Africa","594","89563","30",NA,NA,"168"
"Réunion","21601","","150",NA,"19848","","1603","36","23981","167","102720","114037","900763","Africa","42","6005","9",NA,NA,"1780"
"French Guiana","20366","","104",NA,"9995","","10267","18","66721","341","225358","738293","305242","South America","15","2935","1",NA,NA,"33636"
"Mayotte","20134","","170",NA,"2964","","17000","4","72321","611","174251","625911","278396","Africa","14","1638","2",NA,NA,"61064"
"Cambodia","19237","","120",NA,"7641","","11476","","1137","7","993240","58716","16915901","Asia","879","140966","17",NA,NA,"678"
"French Polynesia","18790","","141",NA,"18617","","32","1","66562","499","26355","93360","282294","Australia/Oceania","15","2002","11",NA,NA,"113"
"Mauritania","18667","","456",NA,"17899","","312","14","3927","96","243483","51225","4753206","Africa","255","10424","20",NA,NA,"66"
"Eswatini","18480","","671",NA,"17783","","26","3","15789","573","192626","164581","1170400","Africa","63","1744","6",NA,NA,"22"
"Guadeloupe","15360","","210",NA,"2242","","12908","18","38383","525","187796","469276","400182","North America","26","1906","2",NA,NA,"32255"
"Somalia","14415","","747",NA,"6191","","7477","","886","46","118345","7274","16268669","Africa","1129","21779","137",NA,NA,"460"
"Guyana","14362","","325",NA,"12154","","1883","16","18185","412","130388","165092","789792","South America","55","2430","6",NA,NA,"2384"
"Mali","14108","","500",NA,"9010","","4598","","680","24","278857","13442","20744549","Africa","1470","41489","74",NA,NA,"222"
"Andorra","13423","","127",NA,"12995","","301","12","173489","1641","193595","2502165","77371","Europe","6","609","0",NA,NA,"3890"
"Burkina Faso","13379","","162",NA,"13156","","61","","626","8","182227","8520","21388695","Africa","1599","132029","117",NA,NA,"3"
"Trinidad and Tobago","13355","","211",NA,"9237","","3907","71","9516","150","145268","103514","1403359","North America","105","6651","10",NA,NA,"2784"
"Tajikistan","13308","","90",NA,"13218","","0","","1369","9","","","9719405","Asia","730","107993",NA,NA,NA,""
"Haiti","13164","","263",NA,"12154","","747","","1143","23","60085","5215","11520906","North America","875","43806","192",NA,NA,"65"
"Togo","13154","","124",NA,"11691","","1339","","1558","15","318074","37672","8443291","Africa","642","68091","27",NA,NA,"159"
"Belize","12686","","323",NA,"12288","","75","1","31419","800","120939","299530","403762","North America","32","1250","3",NA,NA,"186"
"Curaçao","12235","","114",NA,"11957","","164","22","74302","692","100022","607424","164666","North America","13","1444","2",NA,NA,"996"
"Hong Kong","11808","","210",NA,"11493","","105","3","1564","28","13412611","1776775","7548850","Asia","639","35947","1",NA,NA,"14"
"Papua New Guinea","11630","","121",NA,"10312","","1197","","1279","13","95014","10451","9091010","Australia/Oceania","782","75132","96",NA,NA,"132"
"Martinique","11558","","83",NA,"98","","11377","24","30820","221","163838","436883","375016","North America","32","4518","2",NA,NA,"30337"
"Djibouti","11335","","149",NA,"11041","","145","","11332","149","151807","151773","1000226","Africa","88","6713","7",NA,NA,"145"
"Congo","11147","","148",NA,"8208","","2791","","1979","26","92500","16420","5633234","Africa","505","38062","61",NA,NA,"495"
"Suriname","11112","","215",NA,"9778","","1119","29","18798","364","53319","90201","591113","South America","53","2749","11",NA,NA,"1893"
"Lesotho","10773","","319",NA,"6427","","4027","","4995","148","84079","38984","2156732","Africa","200","6761","26",NA,NA,"1867"
"Bahamas","10773","","212",NA,"9781","","780","5","27174","535","89754","226396","396447","North America","37","1870","4",NA,NA,"1967"
"Aruba","10770","","101",NA,"10573","","96","14","100510","943","153789","1435228","107153","North America","10","1061","1",NA,NA,"896"
