"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"108","108","Ivory Coast","46315","","291","","45764","","260","","1720","11","605248","22478","26926644","Africa","581","92531","44",NA,NA,"10"
"109","109","Mongolia","43201","737","153","11","28533","1291","14515","123","13002","46","2762832","831489","3322754","Asia","77","21717","1","222","3","4368"
"110","110","Uganda","42152","","345","","41652","","155","24","898","7","1029255","21922","46950542","Africa","1114","136089","46",NA,NA,"3"
"111","111","Senegal","40621","43","1116","","39316","31","189","10","2374","65","488257","28529","17114127","Africa","421","15335","35","3",NA,"11"
"112","112","Madagascar","38641","304","701","6","35116","389","2824","351","1366","25","189996","6716","28288431","Africa","732","40354","149","11","0.2","100"
"113","113","Zimbabwe","38398","","1575","","36027","","796","12","2552","105","428309","28468","15045256","Africa","392","9553","35",NA,NA,"53"
"114","114","Malawi","34151","","1152","","32135","","864","11","1747","59","234732","12010","19544772","Africa","572","16966","83",NA,NA,"44"
"115","115","Sudan","33648","","2365","","27247","","4036","","753","53","232965","5211","44709222","Africa","1329","18905","192",NA,NA,"90"
"116","116","Maldives","33368","","77","","25675","","7616","90","60829","140","749818","1366889","548558","Asia","16","7124","1",NA,NA,"13884"
"117","117","Malta","30432","12","417","1","29763","19","252","","68767","942","879997","1988523","442538","Europe","15","1061","1","27","2","569"
"118","118","DRC","30201","","770","","26319","","3112","","329","8","151401","1648","91842311","Africa","3041","119276","607",NA,NA,"34"
"119","119","Australia","29893","7","910","","28712","","271","1","1161","35","17080821","663346","25749476","Australia/Oceania","861","28296","2","0.3",NA,"11"
"120","120","Angola","27921","","622","","24503","","2796","35","828","18","510234","15130","33722466","Africa","1208","54216","66",NA,NA,"83"
"121","121","Cabo Verde","25526","","230","","22105","","3191","23","45494","410","154030","274523","561083","Africa","22","2439","4",NA,NA,"5687"
