"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"Mayotte","20134","","170","","2964","","17000","4","72326","611","174251","625951","278378","Africa","14","1638","2",NA,NA,"61068"
"Cambodia","19237","520","120","6","7641","301","11476","","1137","7","993240","58719","16915269","Asia","879","140961","17","31","0.4","678"
"French Polynesia","18790","","141","","18617","","32","1","66563","499","26355","93362","282289","Australia/Oceania","15","2002","11",NA,NA,"113"
"Mauritania","18636","","456","","17865","","315","14","3921","96","242710","51066","4752871","Africa","255","10423","20",NA,NA,"66"
"Eswatini","18480","3","671","","17783","6","26","3","15790","573","192626","164586","1170368","Africa","63","1744","6","3",NA,"22"
"Guadeloupe","15360","","210","","2242","","12908","18","38383","525","187796","469276","400182","North America","26","1906","2",NA,NA,"32255"
"Somalia","14415","","747","","6191","","7477","","886","46","118345","7275","16267453","Africa","1129","21777","137",NA,NA,"460"
"Guyana","14203","","323","","12072","","1808","17","17983","409","129335","163760","789782","South America","56","2445","6",NA,NA,"2289"
"Mali","14108","26","500","1","9010","29","4598","","680","24","278857","13443","20742949","Africa","1470","41486","74","1","0.05","222"
"Andorra","13423","17","127","","12995","33","301","12","173491","1641","193595","2502197","77370","Europe","6","609","0","220",NA,"3890"
"Burkina Faso","13377","","162","","13135","","80","","625","8","182034","8511","21387123","Africa","1599","132019","117",NA,NA,"4"
"Tajikistan","13308","","90","","13218","","0","","1369","9","","","9718818","Asia","730","107987",NA,NA,NA,""
"Haiti","13164","","263","","12154","","747","","1143","23","60085","5215","11520526","North America","875","43804","192",NA,NA,"65"
"Togo","13141","35","124","","11657","77","1360","","1556","15","317325","37585","8442759","Africa","642","68087","27","4",NA,"161"
"Trinidad and Tobago","13122","","203","","9126","","3793","38","9351","145","140718","100273","1403346","North America","107","6913","10",NA,NA,"2703"
"Belize","12686","","323","","12288","","75","1","31421","800","120939","299545","403743","North America","32","1250","3",NA,NA,"186"
"Curaçao","12234","","114","","11936","","184","22","74297","692","99350","603350","164664","North America","13","1444","2",NA,NA,"1117"
"Hong Kong","11808","1","210","","11493","7","105","3","1564","28","13412611","1776814","7548684","Asia","639","35946","1","0.1",NA,"14"
"Papua New Guinea","11630","","121","","10312","","1197","","1279","13","95014","10452","9090546","Australia/Oceania","782","75128","96",NA,NA,"132"
"Martinique","11558","","83","","98","","11377","24","30820","221","163838","436882","375017","North America","32","4518","2",NA,NA,"30337"
"Djibouti","11335","","149","","11041","","145","","11333","149","151807","151779","1000186","Africa","88","6713","7",NA,NA,"145"
"Congo","11147","","148","","8208","","2791","","1979","26","92500","16421","5632862","Africa","505","38060","61",NA,NA,"495"
"Suriname","11020","","214","","9728","","1078","23","18643","362","53030","89714","591099","South America","54","2762","11",NA,NA,"1824"
"Lesotho","10773","12","319","","6427","","4027","","4995","148","84079","38985","2156686","Africa","200","6761","26","6",NA,"1867"
"Bahamas","10773","","212","","9781","","780","5","27175","535","89754","226402","396437","North America","37","1870","4",NA,NA,"1968"
"Aruba","10757","","101","","10564","","92","14","100390","943","153115","1428951","107152","North America","10","1061","1",NA,NA,"859"
"South Sudan","10637","","115","","10312","","210","","941","10","155471","13752","11305148","Africa","1063","98306","73",NA,NA,"19"
"Benin","7884","","100","","7652","","132","35","636","8","595112","48026","12391373","Africa","1572","123914","21",NA,NA,"11"
"Equatorial Guinea","7694","","112","","7279","","303","7","5336","78","123169","85426","1441813","Africa","187","12873","12",NA,NA,"210"
"Nicaragua","6989","","183","","4225","","2581","","1044","27","","","6691467","North America","957","36565",NA,NA,NA,"386"
"CAR","6674","","93","","5112","","1469","2","1362","19","40907","8347","4900919","Africa","734","52698","120",NA,NA,"300"
"Iceland","6506","","29","","6347","","130","5","18961","85","613017","1786560","343127","Europe","53","11832","1",NA,NA,"379"
"Yemen","6482","20","1271","1","2992","9","2219","23","213","42","33374","1098","30381606","Asia","4687","23904","910","0.7","0.03","73"
"Seychelles","6373","","28","","5277","","1068","","64462","283","21504","217509","98865","Africa","16","3531","5",NA,NA,"10803"
"Gambia","5925","","175","","5547","","203","3","2395","71","76379","30873","2473965","Africa","418","14137","32",NA,NA,"82"
"Niger","5319","6","192","","4885","3","242","2","213","8","101051","4051","24943833","Africa","4690","129916","247","0.2",NA,"10"
"San Marino","5067","","90","","4935","","42","4","149064","2648","61760","1816898","33992","Europe","7","378","1",NA,NA,"1236"
"Chad","4877","3","171","","4649","2","57","","290","10","115505","6866","16823548","Africa","3450","98383","146","0.2",NA,"3"
"Saint Lucia","4654","","75","","4439","","140","1","25247","407","41374","224443","184341","North America","40","2458","4",NA,NA,"759"
"Gibraltar","4286","","94","","4189","","3","","127249","2791","239597","7113503","33682","Europe","8","358","0",NA,NA,"89"
"Burundi","4177","28","6","","773","","3398","","343","0.5","279132","22899","12189461","Africa","2918","2031577","44","2",NA,"279"
"Sierra Leone","4068","","79","","3078","","911","","501","10","153257","18887","8114284","Africa","1995","102712","53",NA,NA,"112"
"Channel Islands","4056","","86","","3956","","14","","23147","491","454413","2593311","175225","Europe","43","2038","0",NA,NA,"80"
"Barbados","3933","","45","","3852","","36","","13672","156","158284","550218","287675","North America","73","6393","2",NA,NA,"125"
"Comoros","3854","","146","","3682","","26","","4353","165","","","885274","Africa","230","6064",NA,NA,NA,"29"
"Eritrea","3742","","12","","3602","","128","","1043","3","23693","6603","3588063","Africa","959","299005","151",NA,NA,"36"
"Guinea-Bissau","3739","","67","","3387","","285","9","1863","33","64589","32177","2007321","Africa","537","29960","31",NA,NA,"142"
"Vietnam","3332","102","35","","2602","","695","","34","0.4","2958119","30159","98082853","Asia","29437","2802367","33","1",NA,"7"
"Timor-Leste","3227","116","5","1","1683","82","1539","","2409","4","84361","62970","1339709","Asia","415","267942","16","87","0.7","1149"
