"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"40","Lebanon","Eastern Mediterranean",531234,7783.14,5657,82.88,1017,7415,108.64,166,2.43,25,"Community transmission"
"41","United Arab Emirates","Eastern Mediterranean",530944,5368.28,12682,128.23,1724,1604,16.22,20,0.2,3,"Clusters of cases"
"42","Morocco","Eastern Mediterranean",513016,1389.89,2130,5.77,360,9049,24.52,29,0.08,6,"Community transmission"
"43","Malaysia","Western Pacific",427927,1322.15,23002,71.07,3551,1610,4.97,118,0.36,19,"Community transmission"
"44","Saudi Arabia","Eastern Mediterranean",423406,1216.2,7099,20.39,1090,7032,20.2,86,0.25,14,"Community transmission"
"45","Bulgaria","Europe",407827,5866.76,5336,76.76,1635,16773,241.29,495,7.12,164,"Clusters of cases"
"46","Ecuador","Americas",395327,2240.69,14638,82.97,2279,19018,107.79,466,2.64,111,"Community transmission"
"47","Kazakhstan","Europe",385491,2053.03,12829,68.32,0,4542,24.19,197,1.05,0,"Clusters of cases"
"48","Slovakia","Europe",384660,7047.8,2916,53.43,343,11920,218.4,273,5,34,"Clusters of cases"
"49","Nepal","South-East Asia",368580,1265,51050,175.21,8970,3529,12.11,283,0.97,54,"Clusters of cases"
"50","Panama","Americas",365975,8481.92,2080,48.21,356,6252,144.9,30,0.7,4,"Community transmission"
"51","Belarus","Europe",363732,3849.29,7808,82.63,1138,2592,27.43,70,0.74,10,"Community transmission"
"52","Greece","Europe",352027,3284.27,11534,107.61,2091,10764,100.42,522,4.87,96,"Community transmission"
"53","Croatia","Europe",341052,8404.09,10876,268,1640,7355,181.24,315,7.76,40,"Community transmission"
"54","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",329228,6453.66,4786,93.82,651,3594,70.45,95,1.86,9,"Community transmission"
"55","Azerbaijan","Europe",323841,3193.96,7320,72.2,1080,4617,45.54,156,1.54,20,"Clusters of cases"
"56","Georgia","Europe",317719,7964.53,8885,222.73,1806,4227,105.96,132,3.31,20,"Community transmission"
"57","Tunisia","Eastern Mediterranean",317010,2682.29,9795,82.88,1410,11208,94.83,567,4.8,86,"Community transmission"
"58","Bolivia (Plurinational State of)","Americas",312407,2676.32,10576,90.6,1835,13123,112.42,203,1.74,41,"Community transmission"
"59","Paraguay","Americas",288974,4051.49,14804,207.56,2307,6798,95.31,602,8.44,76,"Community transmission"
"60","Kuwait","Eastern Mediterranean",281772,6597.99,9210,215.66,1236,1621,37.96,67,1.57,11,"Community transmission"
"61","Dominican Republic","Americas",269184,2481.44,2970,27.38,623,3514,32.39,43,0.4,5,"Community transmission"
"62","Costa Rica","Americas",260535,5114.43,14934,293.16,2555,3326,65.29,124,2.43,16,"Community transmission"
"63","Ethiopia","Africa",260139,226.28,4851,4.22,785,3795,3.3,156,0.14,23,"Community transmission"
"64","Denmark","Europe",255470,4387.44,5685,97.63,988,2492,42.8,11,0.19,1,"Community transmission"
"65","Lithuania","Europe",254091,9093.87,8195,293.3,1392,4000,143.16,84,3.01,7,"Community transmission"
